weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
35,0.3045429,0.2694429,0.2508571,0.3224714,77.7657142857,15.4128571429,27.4,11.15,35.1,20.9,24.1,9
36,0.2290143,0.1319714,0.2494571,0.1908857,77.0828571429,16.0342857143,27.4,10.475,33.3,21.7,17.0,17
37,0.3075429,0.2941714,0.3234,0.1907714,73.1414285714,14.7457142857,28.2333333333,13.2333333333,35.9,19.9,89.9,8
38,0.3274143,0.3472571,0.3386714,0.3838714,64.6885714286,13.9742857143,28.9,12.7,36.6,21.5,0.8,22
39,0.2379833,0.3084286,0.2681143,0.3200429,79.5628571429,16.18,27.9,12.2,36.0,20.4,86.9,18
40,0.2721143,0.1793667,0.3142429,0.2741714,74.25,15.6342857143,29.2,14.1333333333,37.7,21.7,74.2,21
41,0.37815,0.3857833,0.2314286,0.2459333,85.1371428571,17.2114285714,28.075,11.45,34.6,21.8,79.8,16
42,0.1992714,0.1592429,0.2581286,0.2277143,86.9985714286,17.1857142857,28.0,11.6333333333,34.2,22.0,4.5,31
43,0.2278714,0.2144571,0.2997714,0.2229429,87.7171428571,16.49,27.95,10.3,36.0,21.8,167.8,25
44,0.3290857,0.2862143,0.2940571,0.3159286,91.9442857143,18.6028571429,,,34.1,22.5,34.1,28
45,0.3071429,0.27695,0.2879286,0.3642857,95.2857142857,18.2671428571,28.3,11.0,33.8,22.6,63.9,26
46,0.2368333,0.2021571,0.2095143,0.1620286,96.0471428571,17.9071428571,27.6,10.7,33.6,21.4,212.6,18
47,0.2506143,0.2791333,0.2156333,0.2982667,96.84,18.4157142857,27.35,8.9,33.5,21.7,77.0,27
48,0.3109286,0.2852286,0.2907286,0.2563286,93.3957142857,18.7842857143,28.1,10.55,34.0,22.0,17.2,11
49,0.3008,0.2528,0.3449571,0.3483286,90.6628571429,18.1057142857,28.5,9.75,33.7,22.9,46.0,38
50,0.2680286,0.1424286,0.2886714,0.1850714,92.6142857143,18.0042857143,27.65,9.45,34.0,22.9,57.2,29
51,0.2542286,0.1839143,0.2707143,0.2090286,93.8457142857,18.2614285714,27.98,8.72,34.0,23.3,24.0,21
52,0.1194,0.1364,0.1718286,0.1895857,93.4085714286,18.2357142857,27.975,10.65,33.8,21.9,137.9,11
1,0.3234143,0.3004143,0.3291857,0.3184286,84.06,17.4528571429,28.45,9.95,34.4,22.4,92.9,10
2,0.4884,0.4024429,0.4149286,0.4697,91.56,17.4971428571,28.9333333333,10.2,35.0,22.1,35.1,5
3,0.303,0.1694667,0.2915429,0.3012857,94.3742857143,17.43,28.0,9.5,33.3,22.5,164.4,6
4,0.2249571,0.2602714,0.2069286,0.2895,84.46,16.5142857143,28.4,10.6,34.2,23.0,67.1,2
5,0.1660286,0.1406286,0.1913857,0.1834429,74.8842857143,15.5928571429,28.6,12.0,35.4,22.5,7.9,1
6,0.19145,0.08642857,0.1368,0.1567143,94.5528571429,17.8528571429,26.6,7.0,33.8,22.4,41.9,2
7,0.3137143,0.2284143,0.2521143,0.2864714,94.3542857143,17.0157142857,26.75,8.35,33.2,22.4,55.9,2
8,0.1262571,0.1355143,0.1036571,0.1337143,89.9742857143,18.02,,,32.4,23.3,121.9,3
9,0.2976,0.2366333,0.22915,0.2072833,86.0128571429,18.0442857143,29.4,11.2,35.0,22.9,0.0,5
10,0.1695286,0.1389571,0.2340571,0.1851429,92.4685714286,17.5,27.95,9.1,32.9,22.9,5.0,1
11,0.2,0.1902857,0.1589429,0.1636286,96.1714285714,17.5157142857,26.7,7.5,32.0,22.1,98.4,4
12,0.2142143,0.2251571,0.2191714,0.2485,93.6285714286,18.2528571429,27.6,9.9,33.5,22.7,61.9,2
13,0.1475286,0.2694571,0.1268571,0.2059143,91.5942857143,18.4842857143,30.8,15.8,42.2,21.8,75.9,4
14,0.2482,0.2627714,0.2065,0.2886857,93.0142857143,18.2785714286,28.26,9.96,34.2,22.6,75.0,0
15,0.2052429,0.1842,0.1931286,0.2087857,96.27,19.0785714286,28.175,9.675,34.5,22.9,79.0,0
16,0.2668286,0.2182286,0.1998714,0.2621429,95.9928571429,17.5342857143,27.72,8.48,34.2,22.4,49.0,0
17,0.3234429,0.2531714,0.2852286,0.2931,92.5471428571,18.1557142857,28.2,10.45,33.9,21.8,82.9,0
18,0.4350571,0.3769143,0.2636143,0.3348429,97.2771428571,17.6885714286,27.2,8.33333333333,32.9,22.7,105.9,1
19,0.1994286,0.1501,0.1834667,0.1477,96.14,17.2228571429,28.35,9.31666666667,33.6,23.4,69.0,1
20,0.2454286,0.1847,0.2614571,0.2688857,98.1328571429,16.0857142857,27.0,8.8,32.5,22.0,246.2,1
21,0.1892571,0.16695,0.1843,0.1707429,95.8542857143,16.5157142857,27.4666666667,8.9,32.5,22.3,145.8,1
22,0.2411429,0.1987,0.2537286,0.2544571,92.4614285714,17.6185714286,27.7,8.72,35.0,22.4,187.9,1
23,0.2369571,0.1213143,0.1923143,0.2074,97.6171428571,17.6514285714,27.2,8.15,33.4,22.4,72.1,2
24,0.3135857,0.3539833,0.2658571,0.2809143,96.2228571429,17.6685714286,27.7,9.575,33.2,21.6,107.0,3
25,0.3237,0.2755,0.3547571,0.2723143,90.0485714286,15.4771428571,27.525,10.725,33.5,21.8,40.4,4
26,0.1882571,0.2322667,0.1737714,0.1928,95.5757142857,15.9857142857,26.95,9.45,32.7,21.9,93.5,6
27,0.2618143,0.1715857,0.3099429,0.2584286,94.1271428571,15.5114285714,25.8666666667,7.5,33.8,21.7,79.3,2
28,0.1802714,0.1629714,0.1541286,0.1611,86.6557142857,15.6185714286,27.075,10.875,33.2,20.7,1.5,2
29,0.1935714,0.16885,0.1590857,0.2314714,85.6114285714,15.2971428571,27.6666666667,10.8333333333,33.4,17.4,23.8,5
30,0.2858143,0.1630714,0.2880286,0.2774571,77.8042857143,13.5585714286,26.4666666667,10.3666666667,32.1,18.0,9.9,1
31,0.2077857,0.1562143,0.1743286,0.2188143,82.27,14.6857142857,27.225,9.9,32.4,21.3,69.1,1
32,0.2443714,0.1746429,0.2174143,0.2323,77.8614285714,14.5842857143,27.85,11.2,34.2,21.3,117.0,0
33,0.2471143,0.1711143,0.2337429,0.2638,83.9271428571,15.5885714286,27.4,10.05,34.4,21.7,79.0,0
34,0.4252429,0.3624833,0.3566143,0.3855286,81.9428571429,15.01,27.75,11.9,34.0,20.0,18.3,0
35,0.2495857,0.2122,0.2508143,0.2652143,85.7257142857,16.4457142857,28.0,12.1,34.4,21.4,95.7,0
36,0.3417,0.2863143,0.2101857,0.2659857,70.9285714286,12.9471428571,26.65,11.9,33.9,18.5,0.8,2
37,0.2232286,0.2028714,0.1952571,0.2701857,76.5328571429,15.4471428571,27.8333333333,12.3,34.3,21.0,53.1,0
38,0.3644857,0.2609857,0.3164571,0.3851571,85.03,15.3114285714,27.8,11.6,35.3,16.8,92.3,3
39,0.4011857,0.3545167,0.3276714,0.3920429,88.1171428571,17.2628571429,28.0333333333,10.6333333333,34.7,21.8,27.2,0
40,0.2535,0.2371143,0.2290286,0.2321714,83.6828571429,17.4514285714,28.575,12.175,35.5,21.8,34.5,0
41,0.1760286,0.1963833,0.2257571,0.2349286,92.1657142857,17.9142857143,27.2,9.35,35.7,22.3,138.2,0
42,0.2758286,0.2288429,0.2752,0.2871143,90.3428571429,17.7971428571,28.3,10.65,34.4,22.9,36.0,2
43,0.4750143,0.3795,0.4249429,0.4324429,87.37,17.8957142857,27.975,10.475,34.5,20.7,32.1,2
44,0.1345143,0.1314714,0.1153571,0.1212714,77.7842857143,16.8728571429,28.7333333333,11.1333333333,35.5,22.8,56.4,3
45,0.3946571,0.3269571,0.3912143,0.4190429,88.48,17.39,27.6,9.56666666667,34.0,21.9,139.7,3
46,0.3176857,0.3246,0.2498,0.3244714,86.7557142857,17.2928571429,28.5,10.85,35.5,20.8,79.0,3
47,0.2636429,0.2816571,0.2466667,0.3012571,90.8828571429,18.3785714286,27.9,10.55,36.0,22.4,284.4,1
48,0.2749,0.2452,0.3094571,0.2953286,86.9957142857,18.27,28.3,10.2333333333,34.7,22.0,26.2,2
49,0.4003429,0.3180571,0.3287714,0.3696429,89.2071428571,17.7457142857,28.7666666667,10.1666666667,35.1,22.0,138.0,3
50,0.3586286,0.24435,0.3519,0.3588,93.2314285714,19.1071428571,28.4,11.7,34.2,22.5,47.4,6
51,0.1926667,0.2244,0.1361143,0.1363143,93.9171428571,18.5328571429,28.3,10.45,34.8,22.1,66.8,5
52,0.2850778,0.2306556,0.2676444,0.2647778,96.9371428571,17.1728571429,27.3,9.6,33.1,22.3,185.7,1
1,0.2025714,0.1989667,0.2445571,0.1879571,,,,,,,,4
2,0.24942,0.30885,0.2086286,0.2590143,95.7942857143,18.2557142857,27.4333333333,8.66666666667,34.2,22.4,137.2,5
3,0.32786,0.29844,0.30672,0.34024,96.1285714286,18.7128571429,28.7,9.9,34.1,23.1,68.1,8
4,0.3205857,0.3365286,0.2566,0.3441143,82.4671428571,17.4914285714,28.7333333333,11.4,34.6,21.8,20.1,5
5,0.2330143,0.2351857,0.1964857,0.2055429,65.2842857143,14.5485714286,28.925,12.125,35.6,22.3,0.0,2
6,0.1235429,0.0993,0.1128571,0.1172,72.9271428571,15.5671428571,29.2,13.525,36.4,20.6,24.1,3
7,0.2787429,0.2987571,0.3127143,0.3048286,86.7657142857,17.1742857143,27.925,9.5,33.3,22.8,13.4,3
8,0.2366286,0.1670429,0.1970286,0.2225143,87.7185714286,17.2085714286,26.6,8.1,35.5,22.0,8.6,1
9,0.3190571,0.3352333,0.2176286,0.3000286,93.0128571429,17.95,27.4666666667,10.1333333333,34.4,20.6,18.9,6
10,0.2094714,0.2086571,0.1715,0.1935714,92.5614285714,18.0942857143,28.4,11.3,34.5,22.3,79.0,4
11,0.3076833,0.2140167,0.33865,0.3110429,96.2885714286,17.61,28.0,11.0,33.5,22.5,24.1,1
12,0.3859857,0.4247833,0.3514143,0.3465286,93.6285714286,18.2485714286,28.3,9.5,34.3,21.7,187.2,2
13,0.3062833,0.19872,0.02988,0.29015,96.2385714286,18.2371428571,28.65,9.3,34.0,23.6,142.6,3
14,0.136,0.138,0.1862333,0.1294333,97.9414285714,18.47,28.0666666667,9.1,33.9,22.7,2.0,1
15,0.3592143,0.3348429,0.2791571,0.3612714,96.4985714286,18.8257142857,27.65,9.5,33.1,22.3,4.0,8
16,0.2441857,0.1958286,0.1747,0.1882286,92.32,18.3085714286,28.0333333333,10.3666666667,33.6,21.7,36.9,4
17,0.3742857,0.3308,0.2340333,0.2549429,94.7885714286,18.4085714286,28.0,10.65,34.5,22.5,39.6,6
18,0.27884,0.1637667,0.1911833,0.3266286,97.8085714286,18.34,27.5333333333,8.66666666667,32.9,22.6,148.5,7
19,0.1575667,0.1215429,0.1904143,0.1225333,95.1157142857,18.5114285714,27.2333333333,9.93333333333,33.3,22.0,97.0,5
20,0.1716667,0.1522333,0.1598333,0.1769,93.8971428571,16.7785714286,27.3,8.4,33.0,19.5,91.8,8
21,0.2254667,0.18515,0.1942,0.2483167,91.6271428571,17.4014285714,26.65,7.4,34.2,22.5,296.9,6
22,0.1903143,0.07784286,0.1931714,0.1023286,93.5757142857,17.5,,,33.3,20.5,28.2,5
23,0.1073,0.1170667,0.1967857,0.1106143,94.6928571429,17.2128571429,27.5,9.5,32.8,19.8,203.0,6
24,0.2378429,0.2350833,0.1669571,0.2119714,96.8757142857,16.42,26.8,8.56666666667,32.0,20.9,87.9,6
25,0.3329571,0.191,0.2340429,0.3255143,92.3714285714,16.1385714286,25.9,8.4,33.3,21.5,43.2,13
26,0.2392333,0.1535429,0.1328286,0.1970429,90.4471428571,15.3128571429,25.075,9.075,32.1,18.6,98.5,2
27,0.2572143,0.3249286,0.1978,0.1967571,94.6685714286,16.5142857143,25.9,8.15,30.9,21.1,170.1,10
28,0.3175571,0.3013857,0.2793714,0.3355429,90.9057142857,16.2528571429,26.55,8.85,32.0,21.8,43.2,3
29,0.2328286,0.2737667,0.2338,0.1532429,85.1585714286,15.86,26.8,11.7,33.1,20.5,31.0,12
30,0.2679429,0.2995,0.2177,0.2849857,90.9285714286,16.48,26.3,8.8,32.1,21.9,103.1,7
31,0.2089,0.1555,0.2203,0.2542571,92.5271428571,15.9757142857,,,32.9,19.4,6.0,6
32,0.2489,0.2659571,0.2185286,0.2375571,79.7185714286,14.6942857143,,,34.0,18.3,55.1,5
33,0.1910714,0.227,0.1685286,0.2957,79.2357142857,13.8242857143,,,31.3,20.0,0.5,6
34,0.3931286,0.3286429,0.2767714,0.3885143,78.4814285714,14.9614285714,,,,21.7,0.5,6
35,0.3113,0.2609286,0.2330143,0.2997857,83.1728571429,16.0771428571,,,32.8,20.4,0.0,6
36,0.3343571,0.3720286,0.3420143,0.2845857,86.54,16.4842857143,27.1,9.8,32.0,20.9,195.1,8
37,0.1302667,0.15128,0.1108143,0.1174857,88.7428571429,17.67,27.4,8.7,34.3,23.0,23.2,6
38,0.2680714,0.2102286,0.2273429,0.32515,91.2,17.44,27.1666666667,9.5,33.0,20.4,87.3,9
39,0.3915333,0.3207286,0.1595857,0.3325286,79.5571428571,15.9014285714,28.0,13.5,34.7,18.8,20.1,12
40,0.2754571,0.2193,0.2612571,0.3283857,84.8071428571,17.7114285714,28.65,13.1,35.5,21.8,40.1,19
41,0.2614714,0.1862429,0.3057286,0.2577429,88.8257142857,16.8242857143,26.975,10.875,33.0,20.6,27.9,8
42,0.3523286,0.2841714,0.3764143,0.3553429,94.16,18.5471428571,28.55,11.3,34.5,21.4,120.6,16
43,0.2538429,0.1996667,0.3036857,0.2235571,85.0657142857,17.9014285714,27.7,9.55,35.6,22.4,13.0,21
